Time to compute: 47582.656 seconds
RandomizedSearchCV(cv='warn', error_score='raise-deprecating',
                   estimator=ClaimClassifier(activation_function='relu',
                                             architecture=(64, 64, 64),
                                             batch_size=8, epochs=10,
                                             l1_weight=0, l2_weight=0,
                                             learning_rate=0.001,
                                             loss=<tensorflow.python.keras.losses.BinaryCrossentropy object at 0x109e31390>,
                                             metrics=[<tensorflow.python.keras.losses.BinaryCrossentropy object at 0x...
                                                      <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,
                                                      <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,
                                                      <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,
                                                      <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>]},
                   pre_dispatch='2*n_jobs', random_state=None, refit=True,
                   return_train_score=False, scoring=None, verbose=0)
Best hyperparameter combination found
{'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.004320239474094066, 'l2_weight': 1.0, 'l1_weight': 0.18887560283756186, 'epochs': 20, 'batch_size': 128, 'architecture': (512, 4, 1, 4), 'activation_function': 'sigmoid'}
0.638 (+/-0.036) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.0024787521766663585, 'l2_weight': 0.006737946999085467, 'l1_weight': 0.32919298780790573, 'epochs': 50, 'batch_size': 16, 'architecture': (512, 1, 1, 128), 'activation_function': <function leaky_relu at 0x12c81cdd0>}
0.666 (+/-0.012) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.0024787521766663585, 'l2_weight': 0.18887560283756186, 'l1_weight': 0.32919298780790573, 'epochs': 50, 'batch_size': 64, 'architecture': (16, 64, 2, 32), 'activation_function': 'sigmoid'}
0.667 (+/-0.049) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>, 'learning_rate': 0.039866367823724935, 'l2_weight': 0.573753420737433, 'l1_weight': 0.06217652402211632, 'epochs': 10, 'batch_size': 32, 'architecture': (512, 512, 8, 1024), 'activation_function': 'relu'}
0.659 (+/-0.021) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.039866367823724935, 'l2_weight': 0.03567399334725241, 'l1_weight': 0.06217652402211632, 'epochs': 30, 'batch_size': 64, 'architecture': (512, 2, 2, 1024), 'activation_function': 'relu'}
0.674 (+/-0.044) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.013123728736940956, 'l2_weight': 0.573753420737433, 'l1_weight': 0.10836802322189586, 'epochs': 50, 'batch_size': 64, 'architecture': (1024, 4, 2, 2), 'activation_function': 'tanh'}
0.675 (+/-0.020) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.02287346491123891, 'l2_weight': 1.0, 'l1_weight': 0.006737946999085467, 'epochs': 40, 'batch_size': 16, 'architecture': (512, 32, 64, 1024), 'activation_function': 'sigmoid'}
0.663 (+/-0.043) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.039866367823724935, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.32919298780790573, 'epochs': 30, 'batch_size': 16, 'architecture': (32, 32, 64, 1024), 'activation_function': 'sigmoid'}
0.671 (+/-0.019) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.007529784255650023, 'l2_weight': 0.573753420737433, 'l1_weight': 0.573753420737433, 'epochs': 10, 'batch_size': 128, 'architecture': (128, 32, 2, 128), 'activation_function': 'sigmoid'}
0.670 (+/-0.017) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.004320239474094066, 'l2_weight': 0.03567399334725241, 'l1_weight': 0.10836802322189586, 'epochs': 50, 'batch_size': 64, 'architecture': (32, 1024, 1024, 128), 'activation_function': 'relu'}
0.628 (+/-0.036) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.007529784255650023, 'l2_weight': 0.020468075714350484, 'l1_weight': 0.006737946999085467, 'epochs': 20, 'batch_size': 128, 'architecture': (8, 64, 32, 32), 'activation_function': 'tanh'}
0.648 (+/-0.046) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>, 'learning_rate': 0.039866367823724935, 'l2_weight': 0.01174362845702136, 'l1_weight': 0.10836802322189586, 'epochs': 40, 'batch_size': 64, 'architecture': (2, 1024, 1024, 16), 'activation_function': 'sigmoid'}
0.655 (+/-0.083) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.2110720877910902, 'l2_weight': 0.32919298780790573, 'l1_weight': 0.10836802322189586, 'epochs': 40, 'batch_size': 64, 'architecture': (128, 1, 2, 512), 'activation_function': 'tanh'}
0.695 (+/-0.065) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.004320239474094066, 'l2_weight': 1.0, 'l1_weight': 0.18887560283756186, 'epochs': 20, 'batch_size': 128, 'architecture': (512, 4, 1, 4), 'activation_function': 'sigmoid'}
0.662 (+/-0.031) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.02287346491123891, 'l2_weight': 0.06217652402211632, 'l1_weight': 1.0, 'epochs': 50, 'batch_size': 64, 'architecture': (1024, 8, 64, 32), 'activation_function': 'relu'}
0.646 (+/-0.034) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>, 'learning_rate': 0.36787944117144233, 'l2_weight': 0.18887560283756186, 'l1_weight': 0.10836802322189586, 'epochs': 50, 'batch_size': 128, 'architecture': (1024, 8, 128, 8), 'activation_function': 'tanh'}
0.646 (+/-0.041) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.12110333239232973, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.01174362845702136, 'epochs': 40, 'batch_size': 128, 'architecture': (2, 16, 64, 1), 'activation_function': 'relu'}
0.642 (+/-0.005) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>, 'learning_rate': 0.013123728736940956, 'l2_weight': 0.32919298780790573, 'l1_weight': 0.06217652402211632, 'epochs': 40, 'batch_size': 16, 'architecture': (1, 32, 512, 64), 'activation_function': 'relu'}
0.674 (+/-0.017) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.06948345122280151, 'l2_weight': 0.573753420737433, 'l1_weight': 0.32919298780790573, 'epochs': 50, 'batch_size': 16, 'architecture': (1024, 1, 1, 4), 'activation_function': <function leaky_relu at 0x12c81cdd0>}
0.649 (+/-0.067) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.06948345122280151, 'l2_weight': 0.06217652402211632, 'l1_weight': 0.006737946999085467, 'epochs': 40, 'batch_size': 32, 'architecture': (4, 128, 4, 64), 'activation_function': 'sigmoid'}
0.652 (+/-0.044) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.02287346491123891, 'l2_weight': 0.573753420737433, 'l1_weight': 0.020468075714350484, 'epochs': 30, 'batch_size': 16, 'architecture': (64, 4, 32, 1), 'activation_function': 'relu'}
0.653 (+/-0.049) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.2110720877910902, 'l2_weight': 0.06217652402211632, 'l1_weight': 0.006737946999085467, 'epochs': 50, 'batch_size': 32, 'architecture': (512, 1024, 1, 128), 'activation_function': 'relu'}
0.646 (+/-0.043) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.36787944117144233, 'l2_weight': 0.573753420737433, 'l1_weight': 0.01174362845702136, 'epochs': 40, 'batch_size': 64, 'architecture': (1024, 16, 64, 2), 'activation_function': <function leaky_relu at 0x12c81cdd0>}
0.685 (+/-0.029) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.36787944117144233, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.06217652402211632, 'epochs': 40, 'batch_size': 128, 'architecture': (32, 4, 4, 4), 'activation_function': 'tanh'}
0.655 (+/-0.001) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.013123728736940956, 'l2_weight': 0.06217652402211632, 'l1_weight': 0.006737946999085467, 'epochs': 10, 'batch_size': 64, 'architecture': (64, 2, 32, 2), 'activation_function': 'relu'}
0.661 (+/-0.032) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.039866367823724935, 'l2_weight': 1.0, 'l1_weight': 0.10836802322189586, 'epochs': 10, 'batch_size': 128, 'architecture': (1, 4, 2, 1024), 'activation_function': <function leaky_relu at 0x12c81cdd0>}
0.675 (+/-0.039) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.039866367823724935, 'l2_weight': 0.01174362845702136, 'l1_weight': 0.06217652402211632, 'epochs': 50, 'batch_size': 64, 'architecture': (32, 1, 128, 32), 'activation_function': 'sigmoid'}
0.650 (+/-0.017) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.039866367823724935, 'l2_weight': 0.020468075714350484, 'l1_weight': 0.10836802322189586, 'epochs': 40, 'batch_size': 16, 'architecture': (1024, 32, 4, 128), 'activation_function': 'relu'}
0.638 (+/-0.019) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.12110333239232973, 'l2_weight': 0.32919298780790573, 'l1_weight': 0.01174362845702136, 'epochs': 10, 'batch_size': 128, 'architecture': (32, 1, 16, 16), 'activation_function': 'tanh'}
0.677 (+/-0.032) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.004320239474094066, 'l2_weight': 0.573753420737433, 'l1_weight': 0.006737946999085467, 'epochs': 50, 'batch_size': 32, 'architecture': (16, 1024, 16, 8), 'activation_function': 'tanh'}
0.680 (+/-0.011) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>, 'learning_rate': 0.12110333239232973, 'l2_weight': 0.01174362845702136, 'l1_weight': 0.06217652402211632, 'epochs': 50, 'batch_size': 128, 'architecture': (512, 64, 8, 8), 'activation_function': 'relu'}
0.635 (+/-0.031) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.007529784255650023, 'l2_weight': 0.03567399334725241, 'l1_weight': 0.573753420737433, 'epochs': 40, 'batch_size': 128, 'architecture': (16, 4, 16, 1), 'activation_function': 'sigmoid'}
0.667 (+/-0.009) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>, 'learning_rate': 0.06948345122280151, 'l2_weight': 0.06217652402211632, 'l1_weight': 1.0, 'epochs': 40, 'batch_size': 128, 'architecture': (64, 1, 16, 512), 'activation_function': 'tanh'}
0.646 (+/-0.048) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>, 'learning_rate': 0.013123728736940956, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.06217652402211632, 'epochs': 30, 'batch_size': 32, 'architecture': (16, 8, 4, 128), 'activation_function': 'relu'}
0.653 (+/-0.033) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.039866367823724935, 'l2_weight': 0.18887560283756186, 'l1_weight': 0.10836802322189586, 'epochs': 50, 'batch_size': 64, 'architecture': (4, 4, 1024, 4), 'activation_function': 'tanh'}
0.642 (+/-0.049) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.004320239474094066, 'l2_weight': 0.03567399334725241, 'l1_weight': 0.32919298780790573, 'epochs': 50, 'batch_size': 32, 'architecture': (32, 128, 2, 16), 'activation_function': <function leaky_relu at 0x12c81cdd0>}
0.661 (+/-0.008) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.004320239474094066, 'l2_weight': 0.020468075714350484, 'l1_weight': 0.32919298780790573, 'epochs': 50, 'batch_size': 64, 'architecture': (1024, 128, 32, 4), 'activation_function': 'tanh'}
0.668 (+/-0.075) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.2110720877910902, 'l2_weight': 0.03567399334725241, 'l1_weight': 0.32919298780790573, 'epochs': 50, 'batch_size': 32, 'architecture': (8, 32, 8, 1024), 'activation_function': 'relu'}
0.649 (+/-0.012) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.013123728736940956, 'l2_weight': 0.18887560283756186, 'l1_weight': 0.03567399334725241, 'epochs': 10, 'batch_size': 16, 'architecture': (512, 2, 4, 128), 'activation_function': <function leaky_relu at 0x12c81cdd0>}
0.654 (+/-0.028) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>, 'learning_rate': 0.007529784255650023, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.32919298780790573, 'epochs': 30, 'batch_size': 32, 'architecture': (2, 16, 512, 4), 'activation_function': 'sigmoid'}
0.638 (+/-0.042) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.02287346491123891, 'l2_weight': 0.06217652402211632, 'l1_weight': 0.006737946999085467, 'epochs': 10, 'batch_size': 128, 'architecture': (4, 64, 512), 'activation_function': 'tanh'}
0.641 (+/-0.021) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.004320239474094066, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.03567399334725241, 'epochs': 10, 'batch_size': 64, 'architecture': (8, 16, 1, 64), 'activation_function': 'relu'}

Process finished with exit code 0
